Data,Ultimo,Abertura,Maxima,Minima
07/29/2019,"3,7813","3,7748","3,8012","3,7748"
07/26/2019,"3,7753","3,7791","3,7945","3,7591"
07/25/2019,"3,7783","3,774","3,8069","3,755"
07/24/2019,"3,7726","3,7742","3,7791","3,7519"
07/23/2019,"3,7735","3,7407","3,7801","3,7405"
07/22/2019,"3,7403","3,7463","3,7483","3,7292"
07/19/2019,"3,7481","3,7189","3,7544","3,7188"
07/18/2019,"3,7187","3,7642","3,7642","3,7178"
07/17/2019,"3,7632","3,7685","3,7687","3,754"
07/16/2019,"3,768","3,7552","3,7717","3,7518"
07/15/2019,"3,7555","3,7365","3,7583","3,7278"
07/12/2019,"3,7358","3,7563","3,7636","3,7296"
07/11/2019,"3,754","3,7539","3,7672","3,7345"
07/10/2019,"3,7543","3,7888","3,7943","3,7504"
07/09/2019,"3,8","3,8074","3,8074","3,8005"
07/08/2019,"3,8063","3,816","3,8176","3,7988"
07/05/2019,"3,8215","3,8022","3,8387","3,7978"
07/04/2019,"3,8008","3,8266","3,8301","3,7834"
07/03/2019,"3,8258","3,8457","3,8752","3,815"
07/02/2019,"3,8447","3,8408","3,8812","3,818"
07/01/2019,"3,8401","3,8374","3,8492","3,8089"
06/28/2019,"3,8518","3,8193","3,852","3,8136"
06/27/2019,"3,8194","3,8462","3,8733","3,8172"
06/26/2019,"3,8433","3,8469","3,8586","3,8305"
06/25/2019,"3,8478","3,8272","3,8597","3,8182"
06/24/2019,"3,8248","3,822","3,8381","3,8067"
06/21/2019,"3,819","3,8318","3,8463","3,8127"
06/20/2019,"3,8386","3,8386","3,8395","3,8386"
06/19/2019,"3,8388","3,8606","3,8844","3,8383"
06/18/2019,"3,8595","3,8894","3,8894","3,8487"
06/17/2019,"3,8881","3,8976","3,9249","3,8797"
06/14/2019,"3,8956","3,8491","3,9139","3,848"
06/13/2019,"3,8485","3,8672","3,8675","3,8345"
06/12/2019,"3,8669","3,8574","3,8723","3,8296"
06/11/2019,"3,8569","3,887","3,887","3,8423"
06/10/2019,"3,8874","3,876","3,8996","3,8668"
06/07/2019,"3,8774","3,8794","3,8858","3,8496"
06/06/2019,"3,8795","3,8812","3,8882","3,8567"
06/05/2019,"3,8808","3,8576","3,9039","3,8365"
06/04/2019,"3,8542","3,8864","3,8899","3,8482"
06/03/2019,"3,8851","3,9233","3,9345","3,8822"
05/31/2019,"3,9218","3,98","3,9986","3,9086"
05/30/2019,"3,9816","3,9744","3,9937","3,9544"
05/29/2019,"3,9742","4,0248","4,0409","3,9679"
05/28/2019,"4,0243","4,043","4,0541","4,0101"
05/27/2019,"4,041","4,0131","4,0432","4,004"
05/24/2019,"4,0213","4,0416","4,048","4,0086"
05/23/2019,"4,0394","4,0402","4,0716","4,0253"
05/22/2019,"4,04","4,0394","4,0531","4,0068"
05/21/2019,"4,0387","4,0968","4,1138","4,0331"
05/20/2019,"4,0963","4,1014","4,1221","4,0777"
05/17/2019,"4,0997","4,048","4,1134","4,0474"
05/16/2019,"4,0467","4,0014","4,0547","3,9938"
05/15/2019,"4,0012","3,9764","4,0219","3,9736"
05/14/2019,"3,9745","3,9935","3,9953","3,9661"
05/13/2019,"3,9925","3,9771","4,005","3,9727"
05/10/2019,"3,9566","3,9467","3,9738","3,9363"
05/09/2019,"3,9456","3,9276","3,9815","3,9276"
05/08/2019,"3,9279","3,9705","3,9783","3,9252"
05/07/2019,"3,97","3,9705","4,0003","3,964"
05/06/2019,"3,9683","3,9384","3,9747","3,9378"
05/03/2019,"3,9378","3,9668","3,9683","3,9307"
05/02/2019,"3,9654","3,92","3,9721","3,9175"
05/01/2019,"3,9195","3,9196","3,922","3,9176"
04/30/2019,"3,9207","3,9456","3,9573","3,9129"
04/29/2019,"3,9442","3,93","3,9461","3,9207"
04/26/2019,"3,9288","3,9502","3,9759","3,9197"
04/25/2019,"3,953","3,991","4,0065","3,9462"
04/24/2019,"3,9922","3,9214","3,9944","3,9187"
04/23/2019,"3,9197","3,936","3,9642","3,9121"
04/22/2019,"3,9358","3,927","3,9394","3,913"
04/19/2019,"3,926","3,9273","3,9275","3,9273"
04/18/2019,"3,9261","3,94","3,9518","3,9039"
04/17/2019,"3,9373","3,9051","3,9476","3,8856"
04/16/2019,"3,9031","3,8724","3,9083","3,8681"
04/15/2019,"3,872","3,8819","3,891","3,8591"
04/12/2019,"3,8812","3,8585","3,9081","3,857"
04/11/2019,"3,857","3,8253","3,8633","3,8253"
04/10/2019,"3,8247","3,851","3,8549","3,8147"
04/09/2019,"3,8502","3,8495","3,8646","3,8459"
04/08/2019,"3,849","3,8728","3,8772","3,8417"
04/05/2019,"3,873","3,8589","3,8768","3,842"
04/04/2019,"3,8587","3,871","3,8882","3,8475"
04/03/2019,"3,8694","3,8537","3,8824","3,8329"
04/02/2019,"3,8525","3,8514","3,8793","3,8479"
04/01/2019,"3,8508","3,8897","3,893","3,8488"
03/29/2019,"3,9238","3,901","3,9342","3,8678"
