date;price;market_cap;total_volume
10/08/2013;R$ 102,71;R$ 1.184.605.785,00;0
11/08/2013;R$ 103,77;R$ 1.197.378.682,00;0
12/08/2013;R$ 105,18;R$ 1.214.268.916,00;0
13/08/2013;R$ 106,07;R$ 1.225.008.501,00;0
14/08/2013;R$ 111,62;R$ 1.289.602.061,00;0
15/08/2013;R$ 111,87;R$ 1.292.943.118,00;0
16/08/2013;R$ 109,87;R$ 1.270.257.534,00;0
17/08/2013;R$ 112,74;R$ 1.304.015.666,00;0
18/08/2013;R$ 114,40;R$ 1.323.762.440,00;0
19/08/2013;R$ 118,78;R$ 1.375.023.402,00;0
20/08/2013;R$ 120,50;R$ 1.395.441.212,00;0
21/08/2013;R$ 121,51;R$ 1.407.757.143,00;0
22/08/2013;R$ 122,50;R$ 1.419.858.347,00;0
23/08/2013;R$ 120,00;R$ 1.391.517.000,00;0
24/08/2013;R$ 120,44;R$ 1.397.179.275,00;0
25/08/2013;R$ 122,00;R$ 1.415.749.000,00;0
26/08/2013;R$ 122,04;R$ 1.416.676.932,00;0
27/08/2013;R$ 125,67;R$ 1.459.371.151,00;0
28/08/2013;R$ 123,02;R$ 1.429.111.038,00;0
29/08/2013;R$ 123,44;R$ 1.434.594.992,00;0
30/08/2013;R$ 129,20;R$ 1.502.172.870,00;0
31/08/2013;R$ 137,76;R$ 1.602.407.100,00;0
01/09/2013;R$ 138,17;R$ 1.607.960.283,00;0
02/09/2013;R$ 137,17;R$ 1.597.132.036,00;0
03/09/2013;R$ 137,51;R$ 1.601.702.729,00;0
04/09/2013;R$ 135,21;R$ 1.575.534.525,00;0
05/09/2013;R$ 129,96;R$ 1.514.888.487,00;0
06/09/2013;R$ 126,13;R$ 1.470.861.842,00;0
07/09/2013;R$ 123,73;R$ 1.443.353.756,00;0
08/09/2013;R$ 121,77;R$ 1.420.952.396,00;0
09/09/2013;R$ 126,40;R$ 1.475.596.760,00;0
10/09/2013;R$ 127,78;R$ 1.492.304.286,00;0
11/09/2013;R$ 131,65;R$ 1.538.132.775,00;0
12/09/2013;R$ 134,22;R$ 1.568.874.092,00;0
13/09/2013;R$ 135,05;R$ 1.579.271.324,00;0
14/09/2013;R$ 131,39;R$ 1.537.187.451,00;0
15/09/2013;R$ 129,95;R$ 1.520.967.287,00;0
16/09/2013;R$ 131,48;R$ 1.539.430.293,00;0
17/09/2013;R$ 131,31;R$ 1.538.014.334,00;0
18/09/2013;R$ 132,06;R$ 1.547.280.990,00;0
19/09/2013;R$ 130,23;R$ 1.526.484.433,00;0
20/09/2013;R$ 128,57;R$ 1.507.618.248,00;0
21/09/2013;R$ 126,78;R$ 1.487.211.807,00;0
22/09/2013;R$ 128,37;R$ 1.506.534.274,00;0
23/09/2013;R$ 126,73;R$ 1.487.984.454,00;0
24/09/2013;R$ 126,09;R$ 1.481.135.098,00;0
25/09/2013;R$ 127,99;R$ 1.504.122.481,00;0
26/09/2013;R$ 128,02;R$ 1.505.025.524,00;0
27/09/2013;R$ 131,84;R$ 1.550.524.096,00;0
28/09/2013;R$ 133,93;R$ 1.575.663.012,00;0
29/09/2013;R$ 140,28;R$ 1.650.965.841,00;0
30/09/2013;R$ 131,65;R$ 1.549.941.780,00;0
01/10/2013;R$ 132,55;R$ 1.561.200.410,00;0
02/10/2013;R$ 132,04;R$ 1.555.751.397,00;0
03/10/2013;R$ 123,07;R$ 1.450.746.083,00;0
04/10/2013;R$ 128,26;R$ 1.512.486.811,00;0
05/10/2013;R$ 129,57;R$ 1.528.611.793,00;0
06/10/2013;R$ 127,56;R$ 1.505.549.223,00;0
07/10/2013;R$ 128,38;R$ 1.515.724.889,00;0
08/10/2013;R$ 125,72;R$ 1.484.816.060,00;0
09/10/2013;R$ 130,90;R$ 1.546.580.228,00;0
10/10/2013;R$ 129,68;R$ 1.532.820.842,00;0
11/10/2013;R$ 130,27;R$ 1.540.367.845,00;0
12/10/2013;R$ 135,35;R$ 1.601.082.220,00;0
13/10/2013;R$ 135,48;R$ 1.603.402.413,00;0
14/10/2013;R$ 140,48;R$ 1.663.458.800,00;0
